subject,roi,cluster_id,hits,hit_rate,birth,death,persistence,maxdist_full,shift_added,robust,B,subsample_frac,persist_floor_frac,top_L,cluster_tol_frac,min_hits,strict_tag
3,V2,8,23,0.115,2.9468258909277014,4.642091287148966,1.695265396221264,11.525164754198624,5.83051660756929,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V2,7,16,0.08,2.55184006690979,4.230833416893368,1.6789933499835787,11.525164754198624,5.83051660756929,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V2,1,12,0.06,3.2521573384602864,4.984036922454834,1.7318795839945476,11.525164754198624,5.83051660756929,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V2,6,3,0.015,2.310575008392334,4.74444580078125,2.433870792388916,11.525164754198624,5.83051660756929,False,200,0.8,0.05,10,0.02,10,STRICT2
3,V2,9,1,0.005,3.4107166528701782,5.01406717300415,1.6033505201339722,11.525164754198624,5.83051660756929,False,200,0.8,0.05,10,0.02,10,STRICT2
3,V2,10,1,0.005,3.2133126258850098,4.703043460845947,1.4897308349609375,11.525164754198624,5.83051660756929,False,200,0.8,0.05,10,0.02,10,STRICT2
3,V3,0,196,0.98,2.3239710590718787,5.137590564178586,2.813619505106707,15.558526561664177,6.805717618273331,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V3,2,131,0.655,2.9624173107431897,5.763901542075238,2.801484231332048,15.558526561664177,6.805717618273331,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V3,1,125,0.625,2.569029803951411,5.330264914189286,2.7612351102378745,15.558526561664177,6.805717618273331,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V3,3,121,0.605,1.8074096423297672,4.959186345488582,3.1517767031588146,15.558526561664177,6.805717618273331,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V3,4,24,0.12,2.9423654927147758,5.425650225745307,2.483284733030531,15.558526561664177,6.805717618273331,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V3,9,16,0.08,2.876134157180786,6.166475057601929,3.2903409004211426,15.558526561664177,6.805717618273331,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V3,10,6,0.03,2.2440836429595947,5.508519649505615,3.2644360065460205,15.558526561664177,6.805717618273331,False,200,0.8,0.05,10,0.02,10,STRICT2
3,V3,8,5,0.025,2.0925214767456053,4.768468379974365,2.67594690322876,15.558526561664177,6.805717618273331,False,200,0.8,0.05,10,0.02,10,STRICT2
3,V3,7,4,0.02,1.6790854930877686,5.215405583381653,3.5363200902938843,15.558526561664177,6.805717618273331,False,200,0.8,0.05,10,0.02,10,STRICT2
3,V3,6,3,0.015,3.387929121653239,5.7462490399678545,2.3583199183146157,15.558526561664177,6.805717618273331,False,200,0.8,0.05,10,0.02,10,STRICT2
