subject,roi,cluster_id,hits,hit_rate,birth,death,persistence,robust,B,subsample_frac,persist_floor_frac,top_L,cluster_tol_frac,robust_hitrate_min,strict_tag,maxdist_full,shift_added
1,PIT,9,9,0.045,6.97687611579895,11.562839984893799,4.585963869094849,False,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
1,PIT,12,8,0.04,5.85337495803833,11.843217372894287,5.989842414855957,False,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
1,PIT,11,7,0.035,6.7916396686009,11.479821068899971,4.688181400299072,False,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
1,PIT,13,6,0.03,7.816326005118234,12.355328696114677,4.539002690996442,False,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
2,V1,2,137,0.685,5.795249615792816,7.290698003927338,1.4954483881345222,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,0,130,0.65,5.327328461692447,7.277463063739595,1.9501346020471482,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,5,115,0.575,6.05045471295633,7.400156638661369,1.3497019257050393,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,15,101,0.505,5.0220491999671575,6.745628992716472,1.7235797927493142,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,4,99,0.495,5.301278423953366,6.701009787522353,1.3997313635689872,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,13,98,0.49,6.322478547096252,7.964963669776917,1.642485122680664,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,11,96,0.48,4.838266148017003,7.36268426821782,2.5244181202008176,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,14,96,0.48,4.903429728967172,7.123002877941838,2.219573148974666,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,7,93,0.465,3.436347746079968,8.163097986610987,4.726750240531019,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,10,80,0.4,3.7697103023529053,7.316841125488281,3.547130823135376,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,19,66,0.33,3.531005382537842,7.064277172088623,3.5332717895507812,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,18,62,0.31,2.7868099212646484,7.260597229003906,4.473787307739258,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,3,40,0.2,6.4268689820932785,7.729048362998075,1.3021793809047966,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,16,34,0.17,5.84614604397824,7.1076442442442245,1.2614982002659847,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,21,32,0.16,5.881762350306792,7.514892900691313,1.6331305503845215,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,34,25,0.125,5.637389623201811,7.448611461199247,1.8112218379974365,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,8,22,0.11,2.7868099212646484,7.49100492217324,4.704195000908592,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,9,20,0.1,3.531005382537842,7.527779388427734,3.9967740058898924,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,32,19,0.095,5.088055359689813,7.400917203802812,2.3128618441129984,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,1,19,0.095,6.3304275211535,8.1622079046149,1.8317803834614002,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,24,19,0.095,4.988209247589111,6.199594497680664,1.2113852500915527,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,12,18,0.09,5.280737660147927,6.928953582590276,1.6482159224423496,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,22,17,0.085,6.164411096011891,7.632404074949377,1.4679929789374857,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,37,15,0.075,5.597695887088776,7.243478417396545,1.6457825303077698,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,35,13,0.065,6.811556852780855,8.33459289257343,1.5230360397925744,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,23,13,0.065,6.637259226578933,7.992057103377122,1.3547978767981896,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,25,12,0.06,3.7697103023529053,7.829943339029948,4.060233036677043,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,30,8,0.04,5.266353289286296,7.544791221618652,2.278437932332357,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,33,8,0.04,6.056800365447998,7.851245350307888,1.7944449848598905,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,36,6,0.03,3.531005382537842,7.260597229003906,3.7295918464660645,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,6,6,0.03,6.55330753326416,7.927438100179036,1.3741305669148762,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,28,6,0.03,5.688465118408203,6.933536946773529,1.245071828365326,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,20,5,0.025,5.022284984588623,7.14476957321167,2.122484588623047,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,26,4,0.02,4.839261770248413,7.5625,2.723238229751587,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,27,4,0.02,6.850871562957764,8.05243968963623,1.2015681266784668,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,31,3,0.015,5.440873305002849,7.495029449462891,2.0541561444600425,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,29,2,0.01,6.295825719833374,7.471439361572266,1.1756136417388916,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,17,1,0.005,5.900563716888428,7.064277172088623,1.1637134552001953,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V1,38,1,0.005,6.232062816619873,7.294663429260254,1.0626006126403809,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.026131370173527,8.510231153176857
2,V2,0,165,0.825,5.351532939502171,7.039180043765477,1.6876471042633057,True,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,16,105,0.525,4.560932442150285,6.925391754217907,2.3644593120676225,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,9,104,0.52,4.7471007203298905,6.757778992728581,2.010678272398691,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,13,102,0.51,3.337766170501709,7.01633760508369,3.678571434581981,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,15,98,0.49,3.1309735774993896,6.7029185830330364,3.5719450055336464,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,12,96,0.48,2.637437105178833,6.564364219705264,3.9269271145264306,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
